problem,algorithm,num_cities,cost,opt_cost,gap_percent,time_sec
a280,2-Opt,280.0,2767.0,2579.0,7.29,0.675264799996512
a280,ACO,280.0,3015.0,2579.0,16.906,31.863698800007114
a280,Christofides,280.0,2954.0,2579.0,14.541,0.4391071000136435
a280,Genetic Algorithm,280.0,11130.0,2579.0,331.563,6.76648690001457
a280,Nearest Insertion,280.0,3094.0,2579.0,19.969,0.0452960999973584
a280,Nearest Neighbor,280.0,3157.0,2579.0,22.412,0.001257299998542294
a280,Simulated Annealing,280.0,2805.0,2579.0,8.763,5.644618599995738
a280,Tabu Search,280.0,2730.0,2579.0,5.855,70.4060575000185
att48,2-Opt,48.0,10753.0,10598.0,1.463,0.0080702000122983
att48,ACO,48.0,11158.0,10598.0,5.284,4.862894999998389
att48,Christofides,48.0,12426.0,10598.0,17.249,0.01732159999664873
att48,Genetic Algorithm,48.0,15893.0,10598.0,49.962,1.466541799978586
att48,Nearest Insertion,48.0,12012.0,10598.0,13.342,0.0016328999772667885
att48,Nearest Neighbor,48.0,12832.0,10598.0,21.079,0.0002099999983329326
att48,Simulated Annealing,48.0,10839.0,10598.0,2.274,4.903395899978932
att48,Tabu Search,48.0,10878.0,10598.0,2.642,1.9497961000015493
bayg29,2-Opt,29.0,1794.0,1610.0,11.429,0.0018171000119764358
bayg29,ACO,29.0,1667.0,1610.0,3.54,2.9889107000199147
bayg29,Christofides,29.0,1750.0,1610.0,8.696,0.0034839999862015247
bayg29,Genetic Algorithm,29.0,1757.0,1610.0,9.13,1.2847163999977056
bayg29,Nearest Insertion,29.0,1759.0,1610.0,9.255,0.0008239999879151583
bayg29,Nearest Neighbor,29.0,2005.0,1610.0,24.534,0.00014750001719221473
bayg29,Simulated Annealing,29.0,1610.0,1610.0,0.0,4.765799099986907
bayg29,Tabu Search,29.0,1610.0,1610.0,0.0,0.690850600018166
bays29,2-Opt,29.0,2064.0,2020.0,2.178,0.0017857000057119876
bays29,ACO,29.0,2069.0,2020.0,2.426,2.967625399993267
bays29,Christofides,29.0,2135.0,2020.0,5.693,0.005189700023038313
bays29,Genetic Algorithm,29.0,2300.0,2020.0,13.861,1.272415000014007
bays29,Nearest Insertion,29.0,2262.0,2020.0,11.98,0.0008656999852973968
bays29,Nearest Neighbor,29.0,2258.0,2020.0,11.782,0.0001514999894425273
bays29,Simulated Annealing,29.0,2028.0,2020.0,0.396,4.799065700004576
bays29,Tabu Search,29.0,2020.0,2020.0,0.0,0.6922305999905802
berlin52,2-Opt,52.0,7967.0,7542.0,5.635,0.004912600008537993
berlin52,ACO,52.0,7786.0,7542.0,3.235,5.410475599986967
berlin52,Christofides,52.0,8685.0,7542.0,15.155,0.009346500009996817
berlin52,Genetic Algorithm,52.0,10916.0,7542.0,44.736,1.4904636999999639
berlin52,Nearest Insertion,52.0,8991.0,7542.0,19.212,0.001766299974406138
berlin52,Nearest Neighbor,52.0,8980.0,7542.0,19.067,0.0002198000147473067
berlin52,Simulated Annealing,52.0,7542.0,7542.0,0.0,4.919443399994634
berlin52,Tabu Search,52.0,7542.0,7542.0,0.0,2.3062885000254028
brg180,2-Opt,180.0,2000.0,1950.0,2.564,0.02700960001675412
brg180,ACO,180.0,1950.0,1950.0,0.0,19.313445400010096
brg180,Christofides,180.0,140440.0,1950.0,7102.051,0.07719409998389892
brg180,Genetic Algorithm,180.0,91720.0,1950.0,4603.59,3.4816044000035618
brg180,Nearest Insertion,180.0,6220.0,1950.0,218.974,0.016085100010968745
brg180,Nearest Neighbor,180.0,12360.0,1950.0,533.846,0.0007261999999172986
brg180,Simulated Annealing,180.0,1950.0,1950.0,0.0,5.109404999995604
brg180,Tabu Search,180.0,1950.0,1950.0,0.0,28.089171700004954
ch130,2-Opt,130.0,6682.0,6110.0,9.362,0.10664710000855848
ch130,ACO,130.0,6561.0,6110.0,7.381,13.819615899992641
ch130,Christofides,130.0,6773.0,6110.0,10.851,0.057911600015359
ch130,Genetic Algorithm,130.0,12655.0,6110.0,107.119,2.57798620001995
ch130,Nearest Insertion,130.0,7446.0,6110.0,21.866,0.008324700000230223
ch130,Nearest Neighbor,130.0,7579.0,6110.0,24.043,0.0005600999866146594
ch130,Simulated Annealing,130.0,6271.0,6110.0,2.635,5.071902199997567
ch130,Tabu Search,130.0,6442.0,6110.0,5.434,14.592715000006137
ch150,2-Opt,150.0,6886.0,6528.0,5.484,0.23670139999012463
ch150,ACO,150.0,6869.0,6528.0,5.224,16.010384000022896
ch150,Christofides,150.0,7176.0,6528.0,9.926,0.07039310000254773
ch150,Genetic Algorithm,150.0,16046.0,6528.0,145.803,2.9751007999875583
ch150,Nearest Insertion,150.0,7968.0,6528.0,22.059,0.011092100001405925
ch150,Nearest Neighbor,150.0,8191.0,6528.0,25.475,0.0006454999966081232
ch150,Simulated Annealing,150.0,6775.0,6528.0,3.784,5.023487300000852
ch150,Tabu Search,150.0,6616.0,6528.0,1.348,19.791327200015076
eil101,2-Opt,101.0,658.0,629.0,4.61,0.07749709999188781
eil101,ACO,101.0,711.0,629.0,13.037,10.838711499993224
eil101,Christofides,101.0,719.0,629.0,14.308,0.0529466999869328
eil101,Genetic Algorithm,101.0,1149.0,629.0,82.671,2.2043910999782383
eil101,Nearest Insertion,101.0,711.0,629.0,13.037,0.005325000005541369
eil101,Nearest Neighbor,101.0,803.0,629.0,27.663,0.00040550000267103314
eil101,Simulated Annealing,101.0,646.0,629.0,2.703,5.128913900000043
eil101,Tabu Search,101.0,629.0,629.0,0.0,8.909186799981399
eil51,2-Opt,51.0,438.0,426.0,2.817,0.009574299998348579
eil51,ACO,51.0,447.0,426.0,4.93,5.3799796999956015
eil51,Christofides,51.0,483.0,426.0,13.38,0.008584199997130781
eil51,Genetic Algorithm,51.0,559.0,426.0,31.221,1.5622810000204481
eil51,Nearest Insertion,51.0,494.0,426.0,15.962,0.001744000008329749
eil51,Nearest Neighbor,51.0,511.0,426.0,19.953,0.0002162999880965799
eil51,Simulated Annealing,51.0,442.0,426.0,3.756,4.932576699997298
eil51,Tabu Search,51.0,427.0,426.0,0.235,2.23830120000639
eil76,2-Opt,76.0,558.0,538.0,3.717,0.019738599978154525
eil76,ACO,76.0,564.0,538.0,4.833,8.079962999996496
eil76,Christofides,76.0,588.0,538.0,9.294,0.02921290000085719
eil76,Genetic Algorithm,76.0,852.0,538.0,58.364,1.8343946000095457
eil76,Nearest Insertion,76.0,620.0,538.0,15.242,0.003345000004628673
eil76,Nearest Neighbor,76.0,642.0,538.0,19.331,0.0003127000236418098
eil76,Simulated Annealing,76.0,555.0,538.0,3.16,5.039370800019242
eil76,Tabu Search,76.0,541.0,538.0,0.558,5.05885760000092
fri26,2-Opt,26.0,955.0,937.0,1.921,0.0023369000118691474
fri26,ACO,26.0,937.0,937.0,0.0,2.772111500002211
fri26,Christofides,26.0,1051.0,937.0,12.166,0.0043880000011995435
fri26,Genetic Algorithm,26.0,1159.0,937.0,23.693,1.2875775000138674
fri26,Nearest Insertion,26.0,1056.0,937.0,12.7,0.000742900010664016
fri26,Nearest Neighbor,26.0,1112.0,937.0,18.677,0.0001346999779343605
fri26,Simulated Annealing,26.0,937.0,937.0,0.0,4.963919200003147
fri26,Tabu Search,26.0,937.0,937.0,0.0,0.5632598999945913
gr120,2-Opt,120.0,7278.0,6942.0,4.84,0.15084429999114946
gr120,ACO,120.0,7796.0,6942.0,12.302,12.88552820001496
gr120,Christofides,120.0,8038.0,6942.0,15.788,0.11535290000028908
gr120,Genetic Algorithm,120.0,15102.0,6942.0,117.545,2.48623760000919
gr120,Nearest Insertion,120.0,8348.0,6942.0,20.254,0.007418900000629947
gr120,Nearest Neighbor,120.0,9351.0,6942.0,34.702,0.00047130000893957913
gr120,Simulated Annealing,120.0,7141.0,6942.0,2.867,5.150963899999624
