problem,algorithm,num_cities,cost,opt_cost,gap_percent,time_sec
a280,2-Opt,280.0,2767.0,2579.0,7.29,0.025292200007243082
a280,ACO,280.0,3084.0,2579.0,19.581,41.172821000014665
a280,Christofides,280.0,2914.0,2579.0,12.99,0.6475164000003133
a280,Genetic Algorithm,280.0,2885.0,2579.0,11.865,39.13575889999629
a280,Nearest Insertion,280.0,3094.0,2579.0,19.969,0.643739099992672
a280,Nearest Neighbor,280.0,2767.0,2579.0,7.29,2.474565000011353
a280,Simulated Annealing,280.0,2767.0,2579.0,7.29,6.425962399982382
a280,Tabu Search,280.0,2652.0,2579.0,2.831,70.96074360000785
att48,2-Opt,48.0,10753.0,10598.0,1.463,0.0007600999961141497
att48,ACO,48.0,10931.0,10598.0,3.142,6.140036099997815
att48,Christofides,48.0,12583.0,10598.0,18.73,0.02708239998901263
att48,Genetic Algorithm,48.0,10918.0,10598.0,3.019,2.862333800003398
att48,Nearest Insertion,48.0,12012.0,10598.0,13.342,0.003911600011633709
att48,Nearest Neighbor,48.0,10753.0,10598.0,1.463,0.013855299999704584
att48,Simulated Annealing,48.0,10715.0,10598.0,1.104,5.759965099976398
att48,Tabu Search,48.0,10742.0,10598.0,1.359,1.9280604000086896
bayg29,2-Opt,29.0,1794.0,1610.0,11.429,0.0002754999732133001
bayg29,ACO,29.0,1679.0,1610.0,4.286,3.7134300000034273
bayg29,Christofides,29.0,1765.0,1610.0,9.627,0.003910299972631037
bayg29,Genetic Algorithm,29.0,1745.0,1610.0,8.385,2.098267199995462
bayg29,Nearest Insertion,29.0,1759.0,1610.0,9.255,0.001025000005029142
bayg29,Nearest Neighbor,29.0,1794.0,1610.0,11.429,0.002621099993120879
bayg29,Simulated Annealing,29.0,1610.0,1610.0,0.0,5.284053000010317
bayg29,Tabu Search,29.0,1610.0,1610.0,0.0,0.6658783000020776
bays29,2-Opt,29.0,2064.0,2020.0,2.178,0.00028789998032152653
bays29,ACO,29.0,2081.0,2020.0,3.02,3.8541787000140175
bays29,Christofides,29.0,2123.0,2020.0,5.099,0.006097999983467162
