problem,algorithm,num_cities,cost,opt_cost,gap_percent,time_sec
a280,2-Opt,280.0,2767.0,2579.0,7.29,0.6785152000084054
a280,ACO,280.0,3015.0,2579.0,16.906,31.59974110001349
a280,Christofides,280.0,2914.0,2579.0,12.99,0.634565999993356
a280,Genetic Algorithm,280.0,2865.0,2579.0,11.09,35.88824209998711
a280,Nearest Insertion,280.0,3094.0,2579.0,19.969,0.0465058999834582
a280,Nearest Neighbor,280.0,3157.0,2579.0,22.412,0.0012710000155493
a280,Simulated Annealing,280.0,2780.0,2579.0,7.794,5.504950200003805
a280,Tabu Search,280.0,2730.0,2579.0,5.855,73.86326549999649
att48,2-Opt,48.0,10753.0,10598.0,1.463,0.0084735999989788
att48,ACO,48.0,11180.0,10598.0,5.492,5.215335800021421
att48,Christofides,48.0,12583.0,10598.0,18.73,0.0272534000105224
att48,Genetic Algorithm,48.0,11148.0,10598.0,5.19,2.4428470999991987
att48,Nearest Insertion,48.0,12012.0,10598.0,13.342,0.0016125999973155
att48,Nearest Neighbor,48.0,12832.0,10598.0,21.079,0.0002114000089932
att48,Simulated Annealing,48.0,10823.0,10598.0,2.123,5.053131599997869
att48,Tabu Search,48.0,10878.0,10598.0,2.642,2.1144481000083037
bayg29,2-Opt,29.0,1794.0,1610.0,11.429,0.0018483000167179
bayg29,ACO,29.0,1652.0,1610.0,2.609,3.181255900010001
bayg29,Christofides,29.0,1765.0,1610.0,9.627,0.005047500017099
bayg29,Genetic Algorithm,29.0,1766.0,1610.0,9.689,1.770379599998705
bayg29,Nearest Insertion,29.0,1759.0,1610.0,9.255,0.0008303999784402
bayg29,Nearest Neighbor,29.0,2005.0,1610.0,24.534,0.0001450999989174
bayg29,Simulated Annealing,29.0,1622.0,1610.0,0.745,5.20040859997971
bayg29,Tabu Search,29.0,1610.0,1610.0,0.0,0.7096988999983296
bays29,2-Opt,29.0,2064.0,2020.0,2.178,0.0018624999793246
bays29,ACO,29.0,2060.0,2020.0,1.98,3.106049800000619
bays29,Christofides,29.0,2123.0,2020.0,5.099,0.0065448000095784
bays29,Genetic Algorithm,29.0,2026.0,2020.0,0.297,1.8363014000060505
bays29,Nearest Insertion,29.0,2262.0,2020.0,11.98,0.0008012000180315
bays29,Nearest Neighbor,29.0,2258.0,2020.0,11.782,0.0001380000030621
bays29,Simulated Annealing,29.0,2033.0,2020.0,0.644,5.046545999997761
bays29,Tabu Search,29.0,2020.0,2020.0,0.0,0.723757800005842
berlin52,2-Opt,52.0,7967.0,7542.0,5.635,0.0051100999990012
berlin52,ACO,52.0,7703.0,7542.0,2.135,5.499111000011908
berlin52,Christofides,52.0,8591.0,7542.0,13.909,0.0150720000092405
berlin52,Genetic Algorithm,52.0,7749.0,7542.0,2.745,2.8609793999930844
berlin52,Nearest Insertion,52.0,8991.0,7542.0,19.212,0.0018651999998837
berlin52,Nearest Neighbor,52.0,8980.0,7542.0,19.067,0.0002222000039182
berlin52,Simulated Annealing,52.0,7542.0,7542.0,0.0,5.003963299997849
berlin52,Tabu Search,52.0,7542.0,7542.0,0.0,2.460198299988406
brg180,2-Opt,180.0,2000.0,1950.0,2.564,0.0283269000065047
brg180,ACO,180.0,1950.0,1950.0,0.0,20.100247900001705
brg180,Christofides,180.0,109130.0,1950.0,5496.41,0.0859727000060956
brg180,Genetic Algorithm,180.0,5430.0,1950.0,178.462,11.233284799993273
brg180,Nearest Insertion,180.0,6220.0,1950.0,218.974,0.0165235000022221
brg180,Nearest Neighbor,180.0,12360.0,1950.0,533.846,0.0007102000236045
brg180,Simulated Annealing,180.0,1980.0,1950.0,1.538,5.234404599992558
brg180,Tabu Search,180.0,1950.0,1950.0,0.0,29.97085050001624
ch130,2-Opt,130.0,6682.0,6110.0,9.362,0.1098552999901585
ch130,ACO,130.0,6586.0,6110.0,7.791,14.531456400000025
ch130,Christofides,130.0,6773.0,6110.0,10.851,0.099838299996918
ch130,Genetic Algorithm,130.0,6632.0,6110.0,8.543,11.622019900009036
ch130,Nearest Insertion,130.0,7446.0,6110.0,21.866,0.0087692000088281
ch130,Nearest Neighbor,130.0,7579.0,6110.0,24.043,0.0005641999887302
ch130,Simulated Annealing,130.0,6335.0,6110.0,3.682,5.406181500002276
ch130,Tabu Search,130.0,6442.0,6110.0,5.434,15.602431099978276
ch150,2-Opt,150.0,6886.0,6528.0,5.484,0.2511861000093631
ch150,ACO,150.0,6725.0,6528.0,3.018,17.44033209999907
ch150,Christofides,150.0,7135.0,6528.0,9.298,0.1266045999946072
ch150,Genetic Algorithm,150.0,6816.0,6528.0,4.412,13.736226700013503
ch150,Nearest Insertion,150.0,7968.0,6528.0,22.059,0.0117430000100284
ch150,Nearest Neighbor,150.0,8191.0,6528.0,25.475,0.0006546000076923
ch150,Simulated Annealing,150.0,6729.0,6528.0,3.079,5.299958199990215
ch150,Tabu Search,150.0,6616.0,6528.0,1.348,21.9112296999956
eil101,2-Opt,101.0,658.0,629.0,4.61,0.0779778999858535
eil101,ACO,101.0,707.0,629.0,12.401,10.920801200001732
eil101,Christofides,101.0,707.0,629.0,12.401,0.0947380000143311
eil101,Genetic Algorithm,101.0,673.0,629.0,6.995,7.226669100025902
eil101,Nearest Insertion,101.0,711.0,629.0,13.037,0.0055992999987211
eil101,Nearest Neighbor,101.0,803.0,629.0,27.663,0.0004037999897263
eil101,Simulated Annealing,101.0,657.0,629.0,4.452,6.468605500005651
eil101,Tabu Search,101.0,629.0,629.0,0.0,8.951948300004005
eil51,2-Opt,51.0,438.0,426.0,2.817,0.0094068000034894
eil51,ACO,51.0,456.0,426.0,7.042,5.604976100003114
eil51,Christofides,51.0,462.0,426.0,8.451,0.0130266000051051
eil51,Genetic Algorithm,51.0,438.0,426.0,2.817,2.580031199991936
eil51,Nearest Insertion,51.0,494.0,426.0,15.962,0.0016856000002007
eil51,Nearest Neighbor,51.0,511.0,426.0,19.953,0.0002190000086557
eil51,Simulated Annealing,51.0,437.0,426.0,2.582,4.88880600000266
eil51,Tabu Search,51.0,427.0,426.0,0.235,2.214590099989437
eil76,2-Opt,76.0,558.0,538.0,3.717,0.0196822000143583
eil76,ACO,76.0,565.0,538.0,5.019,8.09913129999768
eil76,Christofides,76.0,608.0,538.0,13.011,0.0411946999956853
eil76,Genetic Algorithm,76.0,581.0,538.0,7.993,4.482520899997326
eil76,Nearest Insertion,76.0,620.0,538.0,15.242,0.0033667999960016
eil76,Nearest Neighbor,76.0,642.0,538.0,19.331,0.0003061000024899
eil76,Simulated Annealing,76.0,550.0,538.0,2.23,5.031286099983845
eil76,Tabu Search,76.0,541.0,538.0,0.558,5.088534200011054
fri26,2-Opt,26.0,955.0,937.0,1.921,0.0023615999962203
fri26,ACO,26.0,937.0,937.0,0.0,2.9285190000082366
fri26,Christofides,26.0,1051.0,937.0,12.166,0.005759499996202
fri26,Genetic Algorithm,26.0,955.0,937.0,1.921,1.6120873999898322
fri26,Nearest Insertion,26.0,1056.0,937.0,12.7,0.0008182000019587
fri26,Nearest Neighbor,26.0,1112.0,937.0,18.677,0.0001275000104214
fri26,Simulated Annealing,26.0,937.0,937.0,0.0,4.954035600007046
fri26,Tabu Search,26.0,937.0,937.0,0.0,0.5553771000122651
gr120,2-Opt,120.0,7278.0,6942.0,4.84,0.1479954000096768
gr120,ACO,120.0,7827.0,6942.0,12.748,13.055559400003403
gr120,Christofides,120.0,8016.0,6942.0,15.471,0.1722826999903191
gr120,Genetic Algorithm,120.0,7596.0,6942.0,9.421,10.25479350000387
gr120,Nearest Insertion,120.0,8348.0,6942.0,20.254,0.0076110000081826
gr120,Nearest Neighbor,120.0,9351.0,6942.0,34.702,0.0004779000009875
gr120,Simulated Annealing,120.0,7174.0,6942.0,3.342,5.274371199979214
gr120,Tabu Search,120.0,7090.0,6942.0,2.132,14.164127399999416
gr202,2-Opt,202.0,43346.0,40719.0,6.452,0.6353000999952201
gr202,ACO,202.0,45777.0,40719.0,12.422,22.835873499978334
gr202,Christofides,202.0,44038.0,40719.0,8.151,0.7120559000177309
gr202,Genetic Algorithm,202.0,44864.0,40719.0,10.18,23.417609500000253
gr202,Nearest Insertion,202.0,46908.0,40719.0,15.199,0.0215350000071339
gr202,Nearest Neighbor,202.0,50318.0,40719.0,23.574,0.0008570999780204
gr202,Simulated Annealing,202.0,41702.0,40719.0,2.414,5.247227000014391
